DatosVeterinaria,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Fecha del servicio,Nombre cliente,Animal,Raza mascota,Nombre paciente,Esterilizado?,Servicio recibido,Monto pagado,Medico Veterinario que atendió,Diagnóstico,Tratamiento
5/17/2024,Jamie Austin,Ave,Open-source value-added core,Samantha,Sí­,Control de peso,120039,Dr. Price,Fractura,Vendaje
3/7/2024,Kevin Rodriguez,Conejo,MediumBlue,Gabriel,Sí­,Consulta general,198706,Dr. Price,Otitis,Rehabilitación
8/2/2024,Nathaniel Norton,Conejo,FireBrick,Brittney,Sí­,Esterilizaci@Ñn,133971,Dr. Simmons,Fractura,Antibióticos
2/3/2024,Todd Snow,Conejo,Blue,Daniel,Sí­,Emergencia,47894,Dr. Mullins,Anemia,Vendaje
3/20/2024,Larry Gomez,Ave,Cloned tertiary intranet,Christian,Sí­,Vacunaci@Ñn,118019,Dr. Simmons,Desnutrición,Vendaje
5/4/2024,Veronica Lopez,Perro,MediumBlue,Valerie,No,Control de peso,25105,Dr. Conley,Otitis,Vitaminas
7/22/2024,Rhonda Collins,Gato,Navy,Samantha,Sí­,Vacunaci@Ñn,168729,Dr. Conley,Gastroenteritis,Rehabilitación
5/19/2024,Margaret Brown,Hámster,LightPink,Bradley,Sí­,Emergencia,52967,Dr. Simmons,Anemia,Cambio de dieta
5/23/2024,Christian Bell,Ave,Versatile analyzing software,Kimberly,Sí­,Esterilizaci@Ñn,158326,Dr. Price,Fractura,Cirugía menor
4/28/2024,Paul Williams,Ave,Persevering discrete open architecture,Jessica,Sí­,Esterilizaci@Ñn,124593,Dr. Mullins,Fractura,Vendaje
4/3/2024,Karen Carpenter,Hámster,LightSteelBlue,Kerri,Sí­,Vacunaci@Ñn,78903,Dr. Conley,Otitis,Antibióticos
3/2/2024,Tom Mcintosh,Ave,User-friendly bandwidth-monitored database,Sheri,Sí­,Emergencia,77728,Dr. Conley,Gastroenteritis,Rehabilitación
9/24/2024,Ryan Pugh,Perro,Blue,Susan,Sí­,Consulta general,28234,Dr. Mullins,Gastroenteritis,Vendaje
6/29/2024,Mary Holmes,Gato,SkyBlue,Julie,No,Control de peso,76160,Dr. Price,Infección urinaria,Rehabilitación
8/30/2024,Angela Woodward,Ave,Horizontal well-modulated hardware,William,No,Vacunaci@Ñn,143987,Dr. Harvey,Infección urinaria,Antibióticos
11/5/2024,Patrick Rhodes,Perro,Aquamarine,Katherine,No,Esterilizaci@Ñn,131038,Dr. Harvey,Fractura,Rehabilitación
10/23/2024,James White,Perro,PowderBlue,Frank,Sí­,Consulta general,125544,Dr. Mullins,Gastroenteritis,Cirugía menor
7/13/2024,John Perkins,Gato,Orange,John,Sí­,Emergencia,137601,Dr. Simmons,Fractura,Cirugía menor
2/28/2024,Timothy Mckinney,Conejo,SaddleBrown,Paul,No,Vacunaci@Ñn,39761,Dr. Harvey,Desnutrición,Antibióticos
3/27/2024,Brian Jones,Perro,Lavender,Elizabeth,Sí­,Consulta general,81965,Dr. Simmons,Fractura,Cambio de dieta
5/21/2024,Patricia Herman,Hámster,Aquamarine,Katherine,Sí­,Control de peso,35370,Dr. Simmons,Fractura,Antibióticos
6/19/2024,Brianna Torres,Hámster,MediumTurquoise,Regina,No,Control de peso,94776,Dr. Harvey,Anemia,Rehabilitación
8/30/2024,Amy Phillips,Ave,Multi-lateral tangible protocol,Reginald,No,Vacunaci@Ñn,69780,Dr. Mullins,Infección urinaria,Antibióticos
4/25/2024,Sharon Davis,Ave,Quality-focused cohesive artificial intelligence,James,Sí­,Esterilizaci@Ñn,34985,Dr. Conley,Desnutrición,Cambio de dieta
11/26/2024,Jessica Clark,Ave,Enterprise-wide directional model,William,Sí­,Consulta general,153124,Dr. Conley,Infección urinaria,Antibióticos
6/24/2024,Kayla Boyer,Ave,Versatile homogeneous algorithm,Sarah,Sí­,Vacunaci@Ñn,125847,Dr. Conley,Desnutrición,Cirugía menor
2/22/2024,Mrs. Michelle Lewis,Ave,Persevering foreground circuit,Sandra,Sí­,Emergencia,41491,Dr. Harvey,Anemia,Vendaje
8/18/2024,Alexandria Jackson,Ave,Face-to-face reciprocal Local Area Network,Charlene,No,Esterilizaci@Ñn,73545,Dr. Mullins,Infección urinaria,Vitaminas
6/19/2024,Margaret Robinson,Hámster,BlanchedAlmond,Dustin,Sí­,Esterilizaci@Ñn,139858,Dr. Mullins,Gastroenteritis,Antibióticos
2/29/2024,John Shah,Hámster,SteelBlue,Cody,Sí­,Consulta general,160937,Dr. Simmons,Desnutrición,Vitaminas
10/21/2024,Angela Ramirez,Gato,PaleGoldenRod,Justin,No,Consulta general,84037,Dr. Mullins,Otitis,Cirugía menor
3/28/2024,Valerie Martinez,Hámster,PaleGreen,Dawn,No,Emergencia,191435,Dr. Price,Gastroenteritis,Rehabilitación
3/16/2024,Lisa Lane,Ave,Versatile non-volatile database,Joseph,No,Consulta general,55203,Dr. Mullins,Gastroenteritis,Antibióticos
9/9/2024,Jake Terry,Ave,Integrated heuristic installation,Matthew,Sí­,Esterilizaci@Ñn,93860,Dr. Price,Infección urinaria,Rehabilitación
3/13/2024,Tamara White,Conejo,DarkSalmon,Daniel,Sí­,Esterilizaci@Ñn,152489,Dr. Harvey,Otitis,Antibióticos
2/25/2024,Dennis Guerra,Perro,SlateBlue,Alex,No,Esterilizaci@Ñn,31557,Dr. Conley,Otitis,Cirugía menor
11/25/2024,April Douglas,Conejo,Gray,Scott,Sí­,Control de peso,164619,Dr. Harvey,Desnutrición,Antibióticos
8/18/2024,Ross Curtis,Perro,MediumSeaGreen,Tara,Sí­,Vacunaci@Ñn,163023,Dr. Conley,Otitis,Vendaje
4/11/2024,James West,Ave,Progressive user-facing concept,Claire,Sí­,Control de peso,53409,Dr. Conley,Otitis,Vitaminas
4/29/2024,Charles Garcia,Perro,SeaShell,Chad,No,Vacunaci@Ñn,198799,Dr. Simmons,Anemia,Antibióticos
4/25/2024,Jennifer Watson,Conejo,Crimson,Jared,No,Emergencia,60515,Dr. Simmons,Infección urinaria,Cirugía menor
4/25/2024,Jason Allen,Hámster,Sienna,Ashley,Sí­,Vacunaci@Ñn,107080,Dr. Harvey,Anemia,Rehabilitación
8/26/2024,Jason Jones,Gato,SandyBrown,Ashley,No,Vacunaci@Ñn,48336,Dr. Harvey,Gastroenteritis,Cambio de dieta
11/29/2024,Daniel Melton,Gato,OrangeRed,Jasmine,Sí­,Control de peso,111660,Dr. Mullins,Infección urinaria,Cirugía menor
1/27/2024,Eric Bass,Perro,MediumSeaGreen,Matthew,Sí­,Control de peso,106051,Dr. Mullins,Gastroenteritis,Vitaminas
4/5/2024,Tyler Salinas,Conejo,DarkGreen,Cody,No,Emergencia,106808,Dr. Conley,Gastroenteritis,Vitaminas
6/6/2024,Jane Campbell,Gato,MediumVioletRed,Brett,No,Consulta general,48417,Dr. Price,Fractura,Vitaminas
9/9/2024,Angela Stevenson,Conejo,Tomato,Chase,No,Emergencia,154066,Dr. Conley,Fractura,Vendaje
11/10/2024,Michael Crawford,Gato,DeepSkyBlue,Nancy,No,Consulta general,134309,Dr. Conley,Desnutrición,Vendaje
5/12/2024,Andrew Kim,Gato,FloralWhite,Kelly,No,Control de peso,38343,Dr. Mullins,Desnutrición,Vitaminas
5/6/2024,Nathan Winters,Perro,FireBrick,James,No,Emergencia,101077,Dr. Harvey,Otitis,Cambio de dieta
12/3/2024,Ms. Dawn King,Conejo,PapayaWhip,Andre,Sí­,Vacunaci@Ñn,130217,Dr. Harvey,Anemia,Rehabilitación
5/10/2024,Katie Jacobs,Gato,DarkSalmon,Carmen,No,Control de peso,163638,Dr. Conley,Otitis,Vitaminas
5/21/2024,Nicholas Bradley,Gato,Gold,Audrey,No,Emergencia,179032,Dr. Mullins,Fractura,Cambio de dieta
7/31/2024,Hailey Torres,Hámster,DarkCyan,Brett,Sí­,Emergencia,144042,Dr. Simmons,Anemia,Antibióticos
7/21/2024,Andrew Gentry,Conejo,LightCyan,Shane,No,Consulta general,81569,Dr. Mullins,Infección urinaria,Cirugía menor
5/2/2024,James Murillo,Gato,LightGreen,Mario,Sí­,Consulta general,84184,Dr. Harvey,Desnutrición,Antibióticos
1/8/2024,Collin Brown,Hámster,MediumVioletRed,Elizabeth,No,Emergencia,70970,Dr. Harvey,Fractura,Cambio de dieta
7/8/2024,Darlene Delacruz,Gato,Pink,Thomas,Sí­,Consulta general,47941,Dr. Harvey,Infección urinaria,Cirugía menor
9/15/2024,Betty George,Ave,Customizable solution-oriented protocol,Kenneth,No,Consulta general,166120,Dr. Simmons,Gastroenteritis,Cambio de dieta
3/8/2024,John Russo,Gato,MediumPurple,Brian,No,Emergencia,166518,Dr. Price,Otitis,Cambio de dieta
3/25/2024,Patrick Green,Ave,Multi-layered mobile monitoring,Michelle,No,Emergencia,136893,Dr. Simmons,Anemia,Cambio de dieta
3/9/2024,Marcus Allen,Hámster,SkyBlue,Ryan,No,Vacunaci@Ñn,187159,Dr. Mullins,Desnutrición,Cambio de dieta
6/21/2024,Taylor Trevino,Gato,Turquoise,Adam,No,Control de peso,40311,Dr. Mullins,Infección urinaria,Vitaminas
10/31/2024,Jason King,Conejo,Navy,Casey,No,Emergencia,41122,Dr. Simmons,Infección urinaria,Cirugía menor
3/16/2024,Morgan Carroll,Hámster,Lavender,Alexandra,Sí­,Vacunaci@Ñn,36837,Dr. Harvey,Fractura,Vitaminas
8/31/2024,Dennis Kramer,Ave,Sharable intermediate implementation,Ashley,No,Control de peso,36322,Dr. Simmons,Fractura,Cambio de dieta
3/8/2024,Michael Peterson,Ave,Enterprise-wide multi-state neural-net,Karen,Sí­,Emergencia,119714,Dr. Harvey,Gastroenteritis,Vitaminas
1/14/2024,Brandi Curry MD,Conejo,Bisque,Elizabeth,No,Control de peso,161091,Dr. Price,Desnutrición,Cirugía menor
6/16/2024,Alexandra Patrick,Hámster,FloralWhite,Shelley,Sí­,Esterilizaci@Ñn,134251,Dr. Harvey,Gastroenteritis,Cambio de dieta
8/27/2024,Monica Smith,Conejo,RosyBrown,Rebecca,No,Vacunaci@Ñn,142523,Dr. Simmons,Desnutrición,Vendaje
9/29/2024,Kristine Williams,Perro,Indigo,Travis,No,Emergencia,167951,Dr. Conley,Gastroenteritis,Rehabilitación
4/5/2024,Thomas Ruiz,Hámster,DarkTurquoise,Jason,Sí­,Control de peso,67639,Dr. Conley,Otitis,Cambio de dieta
11/6/2024,Steven Tran,Conejo,DarkTurquoise,Tony,Sí­,Control de peso,105680,Dr. Mullins,Fractura,Vitaminas
8/7/2024,Mary Cobb,Hámster,LimeGreen,Steven,No,Consulta general,143288,Dr. Conley,Anemia,Vendaje
11/6/2024,Jerry Parker,Perro,Beige,Krystal,No,Vacunaci@Ñn,190431,Dr. Conley,Anemia,Antibióticos
7/28/2024,Susan Skinner,Perro,SeaGreen,Alexandra,Sí­,Vacunaci@Ñn,25342,Dr. Price,Infección urinaria,Cirugía menor
11/3/2024,Nicole Gilbert,Gato,SpringGreen,Lynn,No,Consulta general,167841,Dr. Simmons,Fractura,Rehabilitación
9/12/2024,Jill Page,Conejo,Gold,Joseph,No,Vacunaci@Ñn,178831,Dr. Price,Anemia,Rehabilitación
2/12/2024,Cody Snyder DVM,Perro,DarkSlateBlue,Leonard,Sí­,Esterilizaci@Ñn,48337,Dr. Price,Gastroenteritis,Vitaminas
2/28/2024,Amanda Tran MD,Ave,Grass-roots value-added benchmark,Denise,No,Control de peso,71990,Dr. Conley,Desnutrición,Rehabilitación
9/10/2024,Mary Hurley,Gato,Cornsilk,Anthony,Sí­,Esterilizaci@Ñn,199374,Dr. Price,Gastroenteritis,Vendaje
3/5/2024,Kelly Hall,Perro,DarkSlateBlue,Jennifer,No,Emergencia,132296,Dr. Mullins,Gastroenteritis,Vendaje
6/2/2024,Kenneth Cooper,Conejo,LimeGreen,Bobby,Sí­,Control de peso,148503,Dr. Conley,Fractura,Vitaminas
6/18/2024,Megan Lang,Hámster,Crimson,Michael,Sí­,Control de peso,66173,Dr. Price,Anemia,Vitaminas
11/8/2024,Jacob Cox,Ave,Reverse-engineered non-volatile secured line,Megan,No,Control de peso,134183,Dr. Price,Otitis,Vitaminas
1/26/2024,Oscar Wagner,Gato,LavenderBlush,Larry,Sí­,Esterilizaci@Ñn,138175,Dr. Simmons,Fractura,Vendaje
8/10/2024,Paige Parker,Ave,Adaptive 24/7 interface,John,No,Esterilizaci@Ñn,27523,Dr. Harvey,Otitis,Cirugía menor
9/29/2024,Daniel Lane,Hámster,ForestGreen,Jennifer,Sí­,Esterilizaci@Ñn,87725,Dr. Mullins,Otitis,Vendaje
3/29/2024,Taylor Diaz,Conejo,MediumSpringGreen,Leslie,Sí­,Emergencia,70084,Dr. Conley,Infección urinaria,Rehabilitación
3/11/2024,Matthew Wang,Hámster,SlateBlue,Thomas,No,Emergencia,82999,Dr. Harvey,Anemia,Rehabilitación
9/6/2024,Rebecca Reynolds,Hámster,RosyBrown,Dustin,No,Consulta general,44393,Dr. Mullins,Infección urinaria,Cambio de dieta
9/21/2024,Derrick Smith,Gato,DarkSlateBlue,Stephen,No,Emergencia,116736,Dr. Harvey,Desnutrición,Vendaje
4/7/2024,Kara Mullins,Conejo,Cyan,Jerome,No,Emergencia,106714,Dr. Mullins,Anemia,Cambio de dieta
6/7/2024,Jesse Knight,Conejo,SaddleBrown,Juan,No,Esterilizaci@Ñn,80434,Dr. Conley,Anemia,Cirugía menor
9/5/2024,Michael Henson,Conejo,Teal,Troy,Sí­,Emergencia,68535,Dr. Simmons,Infección urinaria,Rehabilitación
3/3/2024,Michelle Gonzalez,Hámster,Indigo,Tracie,No,Emergencia,157530,Dr. Price,Otitis,Antibióticos
10/19/2024,Michael Phillips,Gato,LightYellow,Michele,No,Vacunaci@Ñn,114602,Dr. Simmons,Otitis,Antibióticos
1/18/2024,Robert Fisher,Ave,Inverse analyzing flexibility,Amanda,Sí­,Esterilizaci@Ñn,31931,Dr. Conley,Desnutrición,Vitaminas
9/24/2024,Yolanda Jones,Gato,DarkGray,Michelle,No,Consulta general,23215,Dr. Price,Otitis,Cambio de dieta
5/16/2024,Sheryl Garner,Hámster,DarkGreen,Sean,No,Esterilizaci@Ñn,68329,Dr. Conley,Otitis,Cambio de dieta
1/17/2024,Juan Gonzalez,Perro,Chartreuse,Scott,Sí­,Control de peso,148908,Dr. Conley,Desnutrición,Rehabilitación
10/18/2024,Sarah Clark,Perro,MintCream,Heather,Sí­,Vacunaci@Ñn,167545,Dr. Mullins,Gastroenteritis,Cirugía menor
1/12/2024,Joseph White,Perro,DimGray,Steven,No,Emergencia,176271,Dr. Price,Infección urinaria,Vendaje
3/25/2024,Lori Smith,Hámster,WhiteSmoke,Paul,No,Control de peso,97949,Dr. Price,Fractura,Vitaminas
9/20/2024,Michelle Dixon,Ave,Devolved logistical Internet solution,Nancy,Sí­,Emergencia,46013,Dr. Simmons,Anemia,Cirugía menor
9/28/2024,Sarah Miller,Conejo,Beige,Carla,Sí­,Vacunaci@Ñn,82879,Dr. Simmons,Desnutrición,Antibióticos
8/10/2024,Rhonda Wall,Gato,DarkOliveGreen,Jessica,Sí­,Control de peso,138096,Dr. Price,Fractura,Vitaminas
9/27/2024,Stephanie Cunningham,Perro,LightSalmon,Mary,Sí­,Esterilizaci@Ñn,94112,Dr. Harvey,Gastroenteritis,Rehabilitación
7/4/2024,Dana Flores,Gato,MediumSeaGreen,Fred,No,Emergencia,193325,Dr. Simmons,Fractura,Antibióticos
5/7/2024,April Wise,Ave,Fully-configurable maximized customer loyalty,Joshua,Sí­,Vacunaci@Ñn,89633,Dr. Simmons,Gastroenteritis,Antibióticos
8/1/2024,Rhonda Baldwin,Gato,DarkSalmon,Mary,No,Emergencia,169214,Dr. Mullins,Fractura,Antibióticos
3/10/2024,Dylan Hill,Hámster,DarkGreen,Joshua,No,Control de peso,91367,Dr. Price,Desnutrición,Cambio de dieta
10/30/2024,Scott Thomas,Hámster,DarkSeaGreen,Danielle,Sí­,Emergencia,30449,Dr. Harvey,Anemia,Vitaminas
5/13/2024,Jared Frazier,Ave,Reduced neutral pricing structure,Katie,No,Consulta general,43940,Dr. Simmons,Anemia,Vendaje
2/17/2024,Stephanie Johnson,Ave,Switchable 5thgeneration analyzer,Patrick,Sí­,Esterilizaci@Ñn,171059,Dr. Conley,Infección urinaria,Cambio de dieta
11/12/2024,Nathaniel Pace,Ave,Inverse leadingedge application,Manuel,No,Esterilizaci@Ñn,67576,Dr. Price,Fractura,Rehabilitación
2/18/2024,James Brown,Hámster,DarkSalmon,Tammy,Sí­,Control de peso,111215,Dr. Harvey,Otitis,Vitaminas
6/13/2024,Danielle Miller,Perro,LightBlue,Melissa,Sí­,Esterilizaci@Ñn,127910,Dr. Harvey,Otitis,Rehabilitación
5/18/2024,Sara Schneider,Hámster,ForestGreen,Darryl,Sí­,Control de peso,43084,Dr. Mullins,Otitis,Vitaminas
5/20/2024,Amy Jones,Perro,Aqua,Shawn,No,Emergencia,20301,Dr. Price,Fractura,Cambio de dieta
7/22/2024,Eric Lee,Perro,LightCoral,Philip,Sí­,Emergencia,114838,Dr. Price,Fractura,Rehabilitación
9/28/2024,Samantha Mckinney,Hámster,Olive,Steven,Sí­,Vacunaci@Ñn,90007,Dr. Price,Infección urinaria,Vitaminas
6/5/2024,Lisa Johnson,Hámster,GhostWhite,Kelsey,No,Consulta general,27567,Dr. Price,Infección urinaria,Rehabilitación
11/2/2024,Rebecca Olson,Gato,Cyan,David,No,Emergencia,23584,Dr. Price,Fractura,Antibióticos
7/16/2024,Barbara Travis,Gato,DarkGray,Kimberly,Sí­,Control de peso,50793,Dr. Simmons,Fractura,Rehabilitación
11/17/2024,Monica Flores,Conejo,Plum,Justin,No,Control de peso,146484,Dr. Harvey,Infección urinaria,Cambio de dieta
8/20/2024,Matthew Alvarado DDS,Ave,Progressive dynamic knowledgebase,Andrew,Sí­,Control de peso,69967,Dr. Price,Desnutrición,Rehabilitación
4/6/2024,John Ross,Gato,LightSeaGreen,Billy,Sí­,Esterilizaci@Ñn,128774,Dr. Mullins,Desnutrición,Vitaminas
4/22/2024,Andrew Wells,Perro,HotPink,Alex,No,Esterilizaci@Ñn,173862,Dr. Price,Anemia,Cambio de dieta
4/17/2024,Andrea Griffin,Gato,Linen,Lori,No,Emergencia,146967,Dr. Mullins,Otitis,Vendaje
11/7/2024,Rita Hubbard,Ave,Operative logistical concept,Lisa,No,Control de peso,104352,Dr. Simmons,Anemia,Cirugía menor
